,Unnamed: 0,Date,AirPort,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees,Holiday
1789,1789,2011-11-21,SEA,10,6,1,6,3,-2,100,81,61,1009,1006,1001,16,15,8,39,19,58.0,7.62,8,Rain,167,0.0
1790,1790,2011-11-22,SEA,11,8,5,9,6,4,100,83,66,1006,1001,996,16,11,1,47,24,63.0,44.70,8,Rain,148,0.0
1791,1791,2011-11-23,SEA,12,8,4,10,6,3,100,91,82,1011,1004,995,16,15,4,40,17,58.0,13.97,8,Rain,188,0.0
1792,1792,2011-11-24,SEA,7,5,3,4,2,0,92,81,70,1012,1007,1001,16,15,5,47,21,64.0,6.60,7,Rain,173,0.0
1793,1793,2011-11-25,SEA,9,6,2,2,1,-1,92,77,62,1031,1026,1014,16,16,16,34,12,42.0,0.00,5,,163,0.0
1794,1794,2011-11-26,SEA,11,8,5,6,4,-2,86,72,57,1029,1026,1020,16,16,11,19,4,24.0,0.51,8,Rain,160,0.0
1795,1795,2011-11-27,SEA,13,10,7,9,7,4,93,78,63,1029,1020,1014,16,15,6,37,20,50.0,10.67,8,Rain,191,0.0
1796,1796,2011-11-28,SEA,9,6,3,4,2,1,92,74,56,1034,1032,1029,16,16,16,11,6,13.0,T,5,,47,0.0
1797,1797,2011-11-29,SEA,7,4,2,5,3,1,92,84,76,1031,1026,1022,16,14,1,32,12,40.0,2.29,7,Rain,174,0.0
1798,1798,2011-11-30,SEA,7,5,3,5,3,2,96,83,70,1044,1035,1024,16,16,16,27,11,34.0,0.00,7,,7,0.0
1799,1799,2011-12-01,SEA,5,2,-2,2,1,-2,100,90,79,1043,1038,1030,16,7,0,21,5,23.0,T,6,Fog,92,0.0
1800,1800,2011-12-02,SEA,7,3,0,3,1,-1,92,81,70,1034,1033,1030,16,14,10,16,6,19.0,0.25,5,Rain,86,0.0
1801,1801,2011-12-03,SEA,6,3,-1,2,1,-2,96,88,79,1034,1033,1032,16,12,2,13,4,16.0,0.00,7,,101,0.0
1802,1802,2011-12-04,SEA,6,3,-1,2,1,-2,92,80,67,1037,1035,1033,16,15,10,29,10,37.0,0.00,4,,42,0.0
1803,1803,2011-12-05,SEA,6,2,-2,1,-1,-3,92,83,73,1036,1033,1030,16,12,0,14,7,16.0,0.00,5,Fog,28,0.0
1804,1804,2011-12-06,SEA,3,1,-2,1,-1,-3,100,93,85,1033,1031,1030,16,8,0,13,6,14.0,0.00,7,Fog,119,0.0
1805,1805,2011-12-07,SEA,5,3,2,3,2,0,100,90,79,1032,1031,1030,16,8,0,21,8,24.0,0.00,8,Fog,69,0.0
1806,1806,2011-12-08,SEA,4,2,0,1,-1,-1,89,80,70,1032,1031,1028,16,16,16,26,12,29.0,0.00,6,,49,0.0
1807,1807,2011-12-09,SEA,4,1,-3,1,-1,-4,100,90,79,1029,1026,1021,16,6,0,13,4,14.0,0.00,3,Fog,65,0.0
1808,1808,2011-12-10,SEA,4,2,-1,3,1,-2,100,85,70,1022,1021,1020,16,12,5,21,7,21.0,T,7,Rain,142,0.0
1809,1809,2011-12-11,SEA,4,3,2,3,2,1,92,86,79,1024,1021,1019,16,11,0,26,9,32.0,0.51,7,Fog-Rain,30,0.0
1810,1810,2011-12-12,SEA,4,1,-2,0,-2,-3,100,80,59,1026,1023,1019,16,9,0,26,12,29.0,0.00,3,Fog,36,0.0
1811,1811,2011-12-13,SEA,5,1,-3,0,-2,-4,100,80,60,1021,1019,1017,16,10,0,16,6,19.0,0.00,7,Fog,64,0.0
1812,1812,2011-12-14,SEA,4,3,1,1,-1,-2,89,80,70,1023,1021,1019,16,16,16,16,7,24.0,T,8,Rain,150,0.0
1813,1813,2011-12-15,SEA,7,5,3,6,3,-1,100,82,64,1033,1027,1020,16,8,1,14,7,19.0,0.76,8,Rain,133,0.0
1814,1814,2011-12-16,SEA,9,7,4,6,5,2,96,87,77,1033,1032,1030,16,16,16,21,7,24.0,0.00,6,,144,0.0
1815,1815,2011-12-17,SEA,10,6,1,4,2,0,100,83,66,1030,1023,1018,16,11,0,29,8,39.0,0.00,4,Fog,173,0.0
1816,1816,2011-12-18,SEA,8,5,2,6,5,3,100,88,76,1031,1024,1019,16,9,1,23,7,26.0,4.83,7,Rain,283,0.0
1817,1817,2011-12-19,SEA,8,5,2,4,3,1,100,88,76,1033,1031,1030,16,8,1,16,5,21.0,0.00,6,Fog,141,0.0
1818,1818,2011-12-20,SEA,7,5,3,5,4,2,96,86,76,1030,1027,1025,16,12,2,21,9,24.0,T,7,,182,0.0
1819,1819,2011-12-21,SEA,7,4,0,3,1,-1,100,81,62,1035,1032,1029,16,14,10,16,6,23.0,0.00,4,,45,0.0
1820,1820,2011-12-22,SEA,3,1,-3,1,-1,-4,100,91,82,1034,1029,1027,16,6,0,21,7,26.0,0.00,4,Fog,141,0.0
1821,1821,2011-12-23,SEA,9,6,2,6,2,-2,92,81,70,1035,1033,1028,16,15,5,29,9,37.0,0.51,7,Rain,170,0.0
1822,1822,2011-12-24,SEA,11,9,6,6,4,2,83,70,56,1034,1030,1023,16,16,11,16,7,23.0,T,7,Rain,154,0.0
1823,1823,2011-12-25,SEA,10,7,3,5,3,1,96,81,65,1029,1022,1015,16,16,14,61,21,85.0,0.76,6,Rain,187,0.0
1824,1824,2011-12-26,SEA,6,4,3,3,2,1,86,78,70,1029,1025,1022,16,16,16,23,11,29.0,1.27,7,Rain,175,0.0
1825,1825,2011-12-27,SEA,11,8,4,10,7,3,100,93,86,1022,1015,1007,16,10,2,37,12,53.0,22.86,8,Rain,175,0.0
1826,1826,2011-12-28,SEA,12,11,9,11,9,6,96,85,74,1013,1008,1002,16,13,5,47,26,63.0,16.00,8,Rain,191,0.0
1827,1827,2011-12-29,SEA,11,9,7,9,6,4,100,88,76,1019,1011,1002,16,15,8,45,18,63.0,7.37,7,Rain,176,0.0
1828,1828,2011-12-30,SEA,9,6,2,6,3,-1,93,78,62,1024,1010,1002,16,16,11,39,20,50.0,1.78,5,Rain,210,0.0
1829,1829,2011-12-31,SEA,6,3,0,1,-2,-4,89,70,51,1031,1028,1024,16,16,16,24,10,32.0,0.00,6,,115,0.0
1830,1830,2011-09-01,MSP,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,0.00,2,,150,0.0
1831,1831,2011-09-02,MSP,28,25,22,23,19,16,88,70,51,1013,1010,1005,16,14,6,29,11,37.0,0.51,7,Rain,324,0.0
1832,1832,2011-09-03,MSP,27,22,16,18,16,9,84,61,38,1015,1012,1010,16,16,16,39,15,50.0,T,6,Rain-Thunderstorm,324,0.0
1833,1833,2011-09-04,MSP,22,17,12,11,9,5,77,57,37,1023,1019,1015,16,16,11,35,19,50.0,T,4,Rain,321,0.0
1834,1834,2011-09-05,MSP,22,16,9,10,8,5,89,63,36,1024,1023,1020,16,15,2,21,6,24.0,0.00,1,Fog,168,0.0
1835,1835,2011-09-06,MSP,23,17,11,9,8,7,77,58,38,1024,1023,1021,16,16,16,19,10,26.0,0.00,1,,148,0.0
1836,1836,2011-09-07,MSP,26,19,12,13,9,8,77,56,35,1026,1025,1024,16,16,16,16,5,37.0,0.00,0,,105,0.0
1837,1837,2011-09-08,MSP,30,22,14,14,13,11,90,61,32,1026,1023,1020,16,16,16,26,9,47.0,0.00,1,Fog,349,0.0
1838,1838,2011-09-09,MSP,32,25,17,16,14,12,84,57,29,1020,1017,1015,16,16,16,26,10,50.0,0.00,0,,2,0.0
1839,1839,2011-09-10,MSP,32,24,17,17,14,11,84,57,29,1018,1016,1015,16,16,16,19,5,37.0,0.00,2,,1,0.0
1840,1840,2011-09-11,MSP,32,25,18,16,14,11,87,57,27,1016,1014,1013,16,16,13,27,9,34.0,0.00,1,,246,0.0
1841,1841,2011-09-12,MSP,32,24,16,14,13,8,68,49,29,1013,1009,1004,16,16,11,48,21,63.0,0.00,0,,241,0.0
1842,1842,2011-09-13,MSP,21,17,12,7,5,3,66,50,33,1018,1016,1013,16,16,16,39,16,50.0,0.00,3,,314,0.0
1843,1843,2011-09-14,MSP,16,11,5,3,-1,-4,65,47,28,1029,1024,1019,16,16,16,35,19,50.0,0.00,3,,333,0.0
1844,1844,2011-09-15,MSP,14,8,2,2,-2,-7,92,58,24,1032,1030,1027,16,16,16,14,5,32.0,0.00,3,,9,0.0
1845,1845,2011-09-16,MSP,16,12,9,4,2,0,71,54,37,1027,1026,1024,16,16,16,29,14,39.0,0.00,7,,158,0.0
1846,1846,2011-09-17,MSP,19,14,9,9,6,4,77,57,37,1024,1022,1020,16,16,16,40,19,48.0,T,7,,137,0.0
1847,1847,2011-09-18,MSP,16,14,12,13,12,9,93,80,67,1020,1015,1014,16,8,1,21,11,24.0,5.08,8,Rain,162,0.0
1848,1848,2011-09-19,MSP,24,17,11,12,9,4,100,65,29,1017,1015,1014,16,12,6,23,7,29.0,0.00,4,Fog,283,0.0
1849,1849,2011-09-20,MSP,23,18,13,12,8,5,80,59,37,1014,1008,1005,16,16,14,47,23,63.0,1.02,7,Rain,194,0.0
1850,1850,2011-09-21,MSP,16,13,9,11,9,7,89,78,67,1018,1011,1005,16,15,8,40,24,53.0,1.27,8,Rain,273,0.0
1851,1851,2011-09-22,MSP,14,11,8,7,4,3,82,68,54,1022,1020,1018,16,14,4,24,10,34.0,T,7,Rain,340,0.0
1852,1852,2011-09-23,MSP,16,12,8,6,5,3,80,66,51,1023,1021,1019,16,16,16,19,4,34.0,0.00,6,,54,0.0
1853,1853,2011-09-24,MSP,17,11,5,7,6,4,89,70,51,1020,1019,1017,16,16,13,23,6,29.0,0.00,2,Fog,84,0.0
1854,1854,2011-09-25,MSP,19,13,7,9,8,6,93,68,42,1018,1016,1013,16,16,16,29,10,45.0,T,6,,45,0.0
1855,1855,2011-09-26,MSP,21,17,12,11,10,9,89,70,51,1013,1012,1009,16,15,11,37,20,52.0,T,7,Rain,360,1.0
1856,1856,2011-09-27,MSP,19,17,14,15,12,8,84,72,60,1013,1012,1010,16,15,5,27,7,34.0,1.27,7,Rain,352,0.0
1857,1857,2011-09-28,MSP,27,21,13,13,12,9,93,64,35,1012,1010,1007,16,15,11,14,4,23.0,0.00,4,,286,0.0
1858,1858,2011-09-29,MSP,19,16,13,12,7,3,80,59,37,1019,1011,1006,16,16,13,60,30,85.0,T,3,Rain,311,0.0
1859,1859,2011-09-30,MSP,18,12,7,7,3,-2,80,54,28,1026,1023,1020,16,16,16,27,16,42.0,0.00,0,,354,0.0
1860,1860,2011-10-01,MSP,18,11,3,1,0,-2,79,53,26,1029,1026,1023,16,16,16,21,10,27.0,0.00,1,,145,0.0
1861,1861,2011-10-02,MSP,27,17,6,6,3,0,70,47,23,1024,1022,1020,16,16,16,21,8,26.0,0.00,0,,146,0.0
1862,1862,2011-10-03,MSP,28,19,10,8,6,2,68,43,18,1023,1022,1020,16,16,16,23,10,29.0,0.00,0,,139,0.0
1863,1863,2011-10-04,MSP,29,21,11,7,3,1,66,42,17,1023,1020,1017,16,16,16,27,14,37.0,0.00,1,,137,0.0
1864,1864,2011-10-05,MSP,31,24,17,8,6,3,52,37,21,1019,1018,1016,16,16,16,27,13,34.0,0.00,3,,146,0.0
1865,1865,2011-10-06,MSP,28,21,14,9,7,3,62,41,20,1020,1017,1015,16,16,16,37,18,50.0,0.00,1,,140,0.0
1866,1866,2011-10-07,MSP,29,24,18,14,12,9,60,50,40,1015,1013,1010,16,16,16,56,28,69.0,0.00,5,,161,0.0
1867,1867,2011-10-08,MSP,28,25,22,15,12,10,58,47,36,1020,1016,1013,16,16,16,34,15,47.0,T,5,,188,0.0
1868,1868,2011-10-09,MSP,28,23,18,16,11,7,73,50,26,1023,1021,1020,16,16,16,32,12,39.0,0.00,4,,156,0.0
1869,1869,2011-10-10,MSP,24,19,14,14,11,7,93,63,33,1020,1016,1013,16,15,8,34,16,50.0,3.05,4,Rain,154,0.0
1870,1870,2011-10-11,MSP,24,18,12,13,11,10,93,67,41,1013,1011,1009,16,14,10,26,12,34.0,0.51,3,Rain,149,0.0
1871,1871,2011-10-12,MSP,21,17,14,14,13,11,93,78,63,1009,1006,1005,16,13,2,40,8,60.0,13.72,7,Rain-Thunderstorm,119,0.0
1872,1872,2011-10-13,MSP,16,12,9,13,9,3,93,73,53,1005,1004,1003,16,12,3,34,15,42.0,T,6,Rain,287,0.0
1873,1873,2011-10-14,MSP,14,12,9,7,4,2,86,67,47,1009,1006,1004,16,16,16,47,26,63.0,0.00,3,,297,0.0
1874,1874,2011-10-15,MSP,16,11,6,3,2,1,82,60,37,1012,1010,1009,16,16,16,37,21,50.0,T,3,Rain,274,0.0
1875,1875,2011-10-16,MSP,15,11,7,4,1,-3,76,54,32,1011,1011,1010,16,16,16,48,26,58.0,0.00,1,,276,1.0
1876,1876,2011-10-17,MSP,14,10,5,0,-2,-4,70,49,28,1012,1011,1010,16,16,16,42,22,53.0,0.00,1,,277,0.0
1877,1877,2011-10-18,MSP,8,7,6,3,0,-2,65,59,53,1018,1015,1012,16,16,14,32,20,40.0,T,7,Rain,327,0.0
1878,1878,2011-10-19,MSP,9,7,4,1,-1,-2,73,60,46,1020,1019,1017,16,16,16,27,18,37.0,0.00,6,,1,0.0
1879,1879,2011-10-20,MSP,13,7,2,0,-1,-3,82,59,35,1017,1015,1013,16,16,16,32,16,48.0,0.00,1,,333,0.0
1880,1880,2011-10-21,MSP,16,8,0,3,-1,-2,82,57,32,1018,1016,1015,16,16,16,19,7,24.0,0.00,2,,236,0.0
1881,1881,2011-10-22,MSP,16,11,4,3,2,-1,79,57,35,1021,1018,1015,16,16,16,16,7,24.0,0.00,2,,318,0.0
1882,1882,2011-10-23,MSP,14,10,6,8,5,0,86,70,54,1014,1011,1009,16,16,13,27,9,35.0,0.25,5,Rain,258,0.0
1883,1883,2011-10-24,MSP,17,11,4,6,4,2,89,68,46,1017,1016,1014,16,16,11,19,5,27.0,0.00,4,,95,0.0
1884,1884,2011-10-25,MSP,13,9,6,4,2,0,82,66,50,1017,1014,1011,16,16,16,39,24,56.0,T,7,Rain,43,0.0
1885,1885,2011-10-26,MSP,11,8,4,3,2,1,82,67,52,1020,1019,1017,16,16,14,19,7,29.0,T,7,Rain,325,0.0
1886,1886,2011-10-27,MSP,12,7,2,3,0,-4,85,60,35,1020,1018,1017,16,15,10,21,6,32.0,0.25,4,Rain,281,0.0
1887,1887,2011-10-28,MSP,13,7,1,-1,-3,-7,75,51,26,1019,1017,1016,16,16,16,32,9,37.0,0.00,3,,285,0.0
1888,1888,2011-10-29,MSP,12,6,-1,-2,-4,-7,78,53,28,1019,1016,1013,16,16,16,29,9,35.0,0.00,4,,172,0.0
1889,1889,2011-10-30,MSP,10,7,4,3,-1,-6,79,58,37,1014,1011,1009,16,16,16,29,14,37.0,T,8,,273,0.0
1890,1890,2011-10-31,MSP,10,6,1,2,1,-2,100,75,49,1017,1016,1013,16,10,0,21,8,26.0,0.00,5,Fog,218,0.0
1891,1891,2011-11-01,MSP,13,10,7,4,0,-2,61,51,41,1017,1014,1011,16,16,13,27,10,37.0,T,8,Rain,113,0.0
1892,1892,2011-11-02,MSP,11,7,3,1,-2,-5,60,48,36,1025,1022,1017,16,16,16,27,16,35.0,T,7,,343,0.0
1893,1893,2011-11-03,MSP,12,6,-1,-2,-5,-9,78,50,22,1028,1025,1024,16,16,16,14,3,27.0,0.00,1,,319,0.0
1894,1894,2011-11-04,MSP,13,6,-2,-1,-5,-8,85,55,24,1026,1023,1019,16,16,14,34,14,40.0,0.00,1,,147,0.0
1895,1895,2011-11-05,MSP,14,9,4,6,3,-1,79,65,51,1019,1012,1007,16,14,10,48,27,60.0,0.00,4,,152,0.0
1896,1896,2011-11-06,MSP,13,9,6,6,2,-6,80,59,38,1015,1007,1002,16,14,10,42,27,61.0,T,5,,197,0.0
1897,1897,2011-11-07,MSP,10,6,2,-3,-5,-7,53,44,34,1024,1021,1016,16,16,16,23,12,29.0,0.00,3,,254,0.0
1898,1898,2011-11-08,MSP,8,5,1,-3,-4,-6,75,56,37,1024,1022,1021,16,16,16,19,9,,0.00,7,,21,0.0
1899,1899,2011-11-09,MSP,10,6,1,-2,-4,-6,64,49,34,1021,1017,1015,16,15,10,42,18,53.0,T,6,Snow,315,0.0
1900,1900,2011-11-10,MSP,4,2,-1,-2,-4,-6,82,65,48,1018,1016,1015,16,16,14,35,19,50.0,T,8,Snow,295,0.0
1901,1901,2011-11-11,MSP,10,4,-1,-4,-6,-9,72,54,36,1015,1006,1003,16,16,16,27,12,35.0,0.00,3,,170,0.0
1902,1902,2011-11-12,MSP,18,9,-1,3,-2,-5,72,48,23,1002,997,989,16,16,16,40,14,63.0,0.00,4,,156,0.0
1903,1903,2011-11-13,MSP,9,7,4,1,-1,-2,70,58,46,999,993,988,16,16,11,26,13,32.0,0.00,6,,244,0.0
1904,1904,2011-11-14,MSP,11,7,2,-1,-4,-7,70,52,34,1003,999,996,16,16,16,39,13,48.0,0.00,2,,221,0.0
1905,1905,2011-11-15,MSP,11,5,-1,-2,-6,-10,64,50,36,1013,1005,1000,16,16,14,50,21,61.0,0.00,2,,270,0.0
1906,1906,2011-11-16,MSP,4,0,-4,-8,-10,-12,68,52,35,1022,1019,1014,16,16,16,40,22,52.0,0.00,3,,270,0.0
1907,1907,2011-11-17,MSP,0,-4,-9,-11,-13,-15,80,58,35,1024,1019,1010,16,16,16,27,13,35.0,0.00,3,,215,0.0
1908,1908,2011-11-18,MSP,9,4,0,-2,-4,-9,64,52,39,1009,1006,1003,16,16,16,27,14,34.0,0.00,5,,187,0.0
1909,1909,2011-11-19,MSP,3,-1,-5,-2,-4,-8,92,78,64,1022,1011,1007,16,8,0,35,22,58.0,5.33,8,Fog-Rain-Snow,355,0.0
1910,1910,2011-11-20,MSP,-3,-6,-9,-9,-10,-12,84,73,62,1030,1027,1023,16,15,11,24,9,29.0,0.00,4,,360,0.0
1911,1911,2011-11-21,MSP,2,-2,-7,-1,-4,-8,92,84,75,1028,1026,1024,11,10,8,19,7,29.0,0.00,8,,124,0.0
1912,1912,2011-11-22,MSP,3,2,1,1,-1,-2,89,83,76,1024,1020,1017,13,9,6,16,7,21.0,0.00,8,,120,0.0
1913,1913,2011-11-23,MSP,11,7,2,3,2,1,85,72,59,1021,1019,1017,14,11,6,23,10,32.0,0.00,4,,184,0.0
1914,1914,2011-11-24,MSP,15,9,2,6,3,1,92,74,55,1016,1010,1005,16,13,8,24,14,34.0,0.00,2,,156,0.0
1915,1915,2011-11-25,MSP,12,9,7,7,6,4,86,73,59,1006,1005,1004,16,13,8,21,12,26.0,0.00,8,,174,0.0
1916,1916,2011-11-26,MSP,10,7,3,8,4,-2,96,83,70,1018,1009,1004,16,9,2,42,21,56.0,2.03,8,Rain,287,0.0
1917,1917,2011-11-27,MSP,3,1,-1,-2,-4,-6,78,71,64,1024,1022,1018,16,16,16,39,19,48.0,T,8,,323,0.0
1918,1918,2011-11-28,MSP,4,0,-4,-3,-4,-6,81,70,59,1024,1021,1018,16,16,13,32,12,40.0,0.00,4,,188,0.0
1919,1919,2011-11-29,MSP,4,1,-4,-3,-9,-14,85,55,25,1029,1025,1020,16,16,16,24,11,35.0,0.00,0,,338,0.0
1920,1920,2011-11-30,MSP,5,1,-4,-3,-8,-13,85,61,37,1020,1016,1013,16,15,6,24,6,29.0,0.25,6,Snow,44,0.0
1921,1921,2011-12-01,MSP,0,-4,-8,-2,-6,-14,92,71,50,1032,1026,1019,16,11,3,27,15,39.0,1.02,6,Snow,346,0.0
1922,1922,2011-12-02,MSP,1,-4,-10,-4,-11,-14,80,61,41,1031,1025,1018,16,16,16,34,15,42.0,0.00,2,,176,0.0
1923,1923,2011-12-03,MSP,1,0,-2,-2,-3,-5,92,79,66,1020,1016,1014,14,5,0,29,9,40.0,4.57,8,Fog-Snow,288,0.0
1924,1924,2011-12-04,MSP,-2,-3,-6,-3,-7,-9,92,83,74,1029,1021,1013,16,13,3,26,14,35.0,0.25,8,Snow,312,0.0
1925,1925,2011-12-05,MSP,-6,-7,-8,-9,-11,-12,77,74,71,1034,1032,1028,16,15,10,26,13,32.0,T,8,Snow,337,0.0
1926,1926,2011-12-06,MSP,-7,-9,-12,-12,-14,-17,80,71,61,1033,1027,1018,16,14,5,21,12,27.0,T,5,Snow,253,0.0
1927,1927,2011-12-07,MSP,-2,-6,-10,-7,-11,-15,74,66,58,1020,1017,1014,16,16,14,27,11,35.0,0.00,5,,242,0.0
1928,1928,2011-12-08,MSP,-2,-6,-11,-9,-14,-17,69,55,40,1024,1022,1020,16,16,16,40,19,52.0,0.00,2,,261,0.0
1929,1929,2011-12-09,MSP,-8,-12,-15,-17,-18,-20,83,65,47,1030,1028,1024,16,16,16,24,11,29.0,0.00,0,,248,0.0
1930,1930,2011-12-10,MSP,-3,-8,-14,-8,-13,-21,84,69,53,1030,1025,1021,16,14,8,27,11,37.0,0.00,2,,179,0.0
1931,1931,2011-12-11,MSP,4,-2,-7,1,-3,-9,85,75,64,1021,1019,1017,13,9,5,37,17,50.0,0.00,4,,184,0.0
1932,1932,2011-12-12,MSP,4,3,2,2,1,1,92,86,79,1027,1022,1019,14,10,3,16,5,23.0,0.25,8,Rain,182,0.0
1933,1933,2011-12-13,MSP,3,3,2,1,1,0,92,89,85,1028,1025,1020,11,9,6,19,8,23.0,0.25,8,Rain,112,0.0
1934,1934,2011-12-14,MSP,4,3,2,3,2,1,100,93,85,1019,1010,1003,13,5,2,21,9,26.0,9.40,8,Rain,115,0.0
1935,1935,2011-12-15,MSP,3,-2,-7,2,-6,-11,92,71,49,1029,1014,1005,16,15,6,52,25,69.0,T,6,Rain-Snow,296,0.0
1936,1936,2011-12-16,MSP,-3,-6,-8,-8,-11,-14,80,63,46,1031,1029,1028,16,15,5,16,4,23.0,T,6,Snow,332,0.0
1937,1937,2011-12-17,MSP,2,-2,-7,-3,-6,-8,92,78,64,1027,1023,1019,16,11,3,26,10,35.0,0.25,5,Snow,208,0.0
1938,1938,2011-12-18,MSP,8,1,-6,1,-3,-7,92,71,49,1021,1011,1005,16,16,13,26,13,35.0,0.00,2,,183,0.0
1939,1939,2011-12-19,MSP,3,0,-3,-2,-6,-9,82,68,54,1026,1021,1008,16,16,16,29,16,47.0,0.00,6,,339,0.0
1940,1940,2011-12-20,MSP,1,-3,-7,-7,-8,-9,84,69,54,1025,1017,1008,16,16,13,23,9,27.0,0.00,1,,196,0.0
1941,1941,2011-12-21,MSP,-1,-4,-8,-3,-6,-9,92,78,63,1019,1009,1005,16,12,4,29,7,40.0,T,6,Snow,341,0.0
1942,1942,2011-12-22,MSP,-2,-4,-6,-8,-12,-15,69,54,38,1029,1026,1020,16,16,14,27,14,35.0,0.00,4,,310,0.0
1943,1943,2011-12-23,MSP,3,-2,-7,-5,-8,-12,81,64,46,1026,1020,1015,16,14,1,35,13,50.0,0.51,4,Snow,235,0.0
1944,1944,2011-12-24,MSP,6,-1,-8,-5,-7,-10,84,65,45,1023,1019,1017,16,16,16,26,13,35.0,0.00,2,,230,0.0
1945,1945,2011-12-25,MSP,6,2,-1,-4,-5,-7,72,59,45,1026,1022,1016,16,16,16,37,17,48.0,0.00,1,,269,0.0
1946,1946,2011-12-26,MSP,11,4,-4,-1,-6,-8,81,57,32,1021,1010,1005,16,16,16,45,20,64.0,0.00,2,,206,0.0
1947,1947,2011-12-27,MSP,4,0,-4,-2,-8,-13,70,58,45,1018,1013,1006,16,16,16,39,19,52.0,0.00,6,,337,0.0
1948,1948,2011-12-28,MSP,4,-1,-5,-2,-8,-13,69,59,48,1017,1010,1000,16,16,16,23,11,27.0,0.25,6,Rain,144,0.0
1949,1949,2011-12-29,MSP,3,1,-2,-1,-3,-4,92,81,69,1005,1002,996,16,14,10,27,11,37.0,0.00,6,,323,0.0
1950,1950,2011-12-30,MSP,0,-1,-2,-4,-5,-6,85,74,63,1012,1007,1004,16,14,11,21,10,39.0,T,8,,59,0.0
1951,1951,2011-12-31,MSP,6,2,-2,2,-1,-4,96,83,70,1011,1006,1001,16,9,1,37,15,48.0,8.38,8,Rain-Snow,121,0.0
1952,1952,2011-09-01,DTW,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,0.00,3,,194,0.0
1953,1953,2011-09-02,DTW,37,30,23,23,22,20,94,67,40,1014,1013,1011,14,7,2,24,9,32.0,T,4,,220,0.0
1954,1954,2011-09-03,DTW,35,28,22,23,21,16,93,65,36,1014,1011,1009,16,9,3,50,9,71.0,3.05,4,Rain-Thunderstorm,190,0.0
1955,1955,2011-09-04,DTW,26,21,17,19,18,12,90,76,61,1012,1010,1009,16,13,6,26,13,37.0,0.76,7,Rain,241,0.0
1956,1956,2011-09-05,DTW,18,15,12,12,9,6,80,70,60,1019,1015,1012,16,16,16,34,19,45.0,0.00,7,,334,1.0
1957,1957,2011-09-06,DTW,19,16,12,11,9,6,80,68,56,1021,1020,1019,16,16,16,32,17,37.0,0.00,8,,10,0.0
1958,1958,2011-09-07,DTW,17,15,13,15,13,9,93,83,72,1020,1017,1016,16,9,2,34,20,42.0,13.97,8,Rain,360,0.0
1959,1959,2011-09-08,DTW,19,17,16,17,16,14,97,92,87,1016,1015,1015,16,6,2,27,15,39.0,16.76,8,Rain,13,0.0
1960,1960,2011-09-09,DTW,24,21,18,19,17,16,93,83,73,1015,1014,1013,16,10,2,32,7,56.0,4.57,7,Rain,354,0.0
1961,1961,2011-09-10,DTW,24,21,17,18,17,16,100,82,64,1017,1016,1014,16,12,3,16,5,32.0,17.27,8,Rain,353,0.0
1962,1962,2011-09-11,DTW,26,22,17,18,17,16,93,74,54,1017,1016,1014,16,13,5,21,5,26.0,3.81,5,Rain,197,0.0
1963,1963,2011-09-12,DTW,29,22,15,19,16,14,97,73,48,1016,1014,1012,16,12,3,32,14,37.0,0.00,3,,199,0.0
1964,1964,2011-09-13,DTW,28,22,16,17,15,12,81,68,54,1014,1010,1008,16,14,11,29,19,42.0,0.00,3,,245,0.0
1965,1965,2011-09-14,DTW,21,16,11,12,10,7,89,67,44,1019,1016,1014,16,14,10,24,10,32.0,3.81,5,Rain,293,0.0
1966,1966,2011-09-15,DTW,16,11,6,7,3,1,83,60,36,1027,1024,1019,16,16,16,32,14,37.0,0.00,3,,314,0.0
1967,1967,2011-09-16,DTW,17,12,6,5,4,2,83,61,39,1030,1029,1027,16,16,16,16,6,23.0,0.00,7,,349,0.0
1968,1968,2011-09-17,DTW,19,15,11,9,7,3,71,54,37,1029,1028,1027,16,16,16,19,10,27.0,0.00,5,,48,0.0
1969,1969,2011-09-18,DTW,21,16,10,14,10,8,93,69,44,1027,1025,1020,16,14,4,23,11,32.0,0.00,4,,59,0.0
1970,1970,2011-09-19,DTW,20,18,16,19,17,13,100,84,68,1020,1014,1012,16,8,1,32,15,39.0,45.97,8,Rain-Thunderstorm,184,0.0
1971,1971,2011-09-20,DTW,22,17,12,16,13,12,100,77,53,1020,1018,1016,16,9,0,13,6,21.0,0.00,6,Fog,290,0.0
1972,1972,2011-09-21,DTW,26,21,16,19,16,10,93,71,48,1017,1015,1012,16,9,2,29,12,37.0,0.00,6,,177,0.0
1973,1973,2011-09-22,DTW,23,18,12,12,11,9,89,67,44,1020,1018,1016,16,16,11,27,11,45.0,1.78,5,Rain,222,0.0
1974,1974,2011-09-23,DTW,18,14,11,12,12,10,93,83,72,1020,1017,1015,16,12,5,14,6,19.0,13.97,7,Rain,331,0.0
